id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that demonstrates verb-field NPC behavior, scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. To strengthen thi","Dungeon Gleaner is a product expression that demonstrates verb-field NPC behavior, scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. To strengthen thi"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,false,tier-already-research_result,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,true,,"The strongest public claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and proprioce","The strongest public claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and proprioce"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
