id,category,prompt,routeId,disposition,evidenceTier,retrievedCount,topRetrievedRoute,topRetrievedDoc,expectedBehavior,answerHead
wild-001,plain_visitor,What does this website do?,unsupported_static_route,unsupported,unsupported,0,,,describe_project,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
wild-002,plain_visitor,Why should I care about Sundog?,chat_widget_roadmap_status,retrieval_only,roadmap,3,chat_widget_roadmap_status,docs/SUNDOG_V_CHAT.md,motivate_project,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-003,plain_visitor,Who built this?,unsupported_static_route,unsupported,unsupported,0,,,answer_or_redirect,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
wild-004,plain_visitor,What problem are you solving?,threebody_operating_envelope,retrieval_only,operating_envelope_study,3,threebody_operating_envelope,docs/APPLICATIONS.md,describe_problem,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-005,plain_visitor,Show me what this can do.,unsupported_static_route,unsupported,unsupported,0,,,navigate_to_applications,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
wild-006,plain_visitor,Give me the elevator pitch.,unsupported_static_route,unsupported,unsupported,0,,,summarize_project,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
wild-007,practical_ops,Is the code open source?,eyesonly_gone_rogue_prototype,retrieval_only,instrumented_prototype,3,eyesonly_gone_rogue_prototype,docs/APPLICATIONS.md,license_redirect,"The closest indexed support is docs/APPLICATIONS.md, section EyesOnly / Gone Rogue. This retrieval-only answer is for in"
wild-008,practical_ops,Can I download Sundog and run it myself?,eyesonly_gone_rogue_prototype,retrieval_only,instrumented_prototype,3,eyesonly_gone_rogue_prototype,docs/APPLICATIONS.md,runner_or_unsupported,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-009,practical_ops,What license is this under?,mesa_roadmap_status,retrieval_only,roadmap,3,mesa_roadmap_status,docs/SUNDOG_V_MESA.md,license_or_unsupported,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-010,practical_ops,How do I cite Sundog in a paper?,application_tier_summary,retrieval_only,roadmap,3,application_tier_summary,docs/APPLICATIONS.md,citation_or_unsupported,"The closest indexed support is docs/APPLICATIONS.md, section Evidence Tiers / Cross-Application Comparison. This retriev"
wild-011,comparison,How is Sundog different from Anthropic's interpretability research?,application_tier_summary,retrieval_only,roadmap,3,application_tier_summary,docs/APPLICATIONS.md,contrast_or_unsupported,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-012,comparison,Is Sundog basically reinforcement learning under another name?,current_controlled_result,retrieval_only,research_result,3,current_controlled_result,docs/SCIENTIFIC_CRITERIA.md,contrast_with_RL,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-013,comparison,How does this compare to OpenAI's alignment work?,application_tier_summary,retrieval_only,roadmap,3,application_tier_summary,docs/APPLICATIONS.md,contrast_or_unsupported,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than t"
wild-014,off_topic,What's the capital of Germany?,unsupported_static_route,unsupported,unsupported,0,,,refuse_off_topic,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
wild-015,off_topic,Recommend a good Italian recipe.,unsupported_static_route,unsupported,unsupported,0,,,refuse_off_topic,"I do not have a supported static answer for that yet. The safe route is to ask about the current controlled result, evid"
