id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is currently framed as a product expression, where its verb-field NPC behavior scores unmet needs against nearby satisfier nodes and directs NPCs toward the strongest local pull. Howev","Dungeon Gleaner is currently framed as a product expression, where its verb-field NPC behavior scores unmet needs against nearby satisfier nodes and directs NPCs toward the strongest local pull. Howev"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype that integrates a headless runner with a JavaScript engine and roguelike game mechanics. While it serves as a significant development in this area, it ","EyesOnly/Gone Rogue is an instrumented prototype that integrates a headless runner with a JavaScript engine and roguelike game mechanics. While it serves as a significant development in this area, it "
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,Sundog Balance is focused on a browser cart-pole operating-envelope study. The tested setup shows that the shadow controller outperforms naive shadow-centering within the favorable diagnostic-positive,Sundog Balance is focused on a browser cart-pole operating-envelope study. The tested setup shows that the shadow controller outperforms naive shadow-centering within the favorable diagnostic-positive
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study focused on a lossy pressure field. Within a specific density and pressure-noise pocket, pressure-derived Sundog variants enhance budget-adjusted safe-tile","Pressure Mines is an operating-envelope study focused on a lossy pressure field. Within a specific density and pressure-noise pocket, pressure-derived Sundog variants enhance budget-adjusted safe-tile"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is an operating-envelope study where overhead-light cells are identified as degradation boundaries. In these cells, both the shadow controller and naive shadow-centering failed, indicat","Sundog Balance is an operating-envelope study where overhead-light cells are identified as degradation boundaries. In these cells, both the shadow controller and naive shadow-centering failed, indicat"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,false,tier-already-research_result,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,true,,"The strongest controlled claim pertains to the photometric mirror-alignment result achieved in a specific MuJoCo task. In this scenario, a controller aligned a mirrored end-effector using sparse photo","The strongest controlled claim is the photometric mirror-alignment result: in the tested MuJoCo task, a controller without target-position access aligned a mirrored end-effector using sparse photometr"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,Pressure Mines can be described as improving safer progress before failure by identifying safe tiles more effectively than naive pressure methods. This approach enhances budget-adjusted safe-tile prog,Pressure Mines can be described as improving safer progress before failure by identifying safe tiles more effectively than naive pressure methods. This approach enhances budget-adjusted safe-tile prog
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,The Three-Body workbench is designed for a bounded operating-envelope study. It demonstrates that the guarded accelerometer-proxy TRACK controller improves survival in specific high-velocity scenarios,The Three-Body workbench is designed for a bounded operating-envelope study. It demonstrates that the guarded accelerometer-proxy TRACK controller improves survival in specific high-velocity scenarios
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype focused on softbody graph telemetry, but the current status of the see-saw musing cannot be presented as empirically confirmed. The Stage 1 verdict is still pen","Money Bags is an instrumented prototype focused on softbody graph telemetry, but the current status of the see-saw musing cannot be presented as empirically confirmed. The Stage 1 verdict is still pen"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner has a score of 8 based on its performance in addressing unmet needs against nearby satisfier nodes. However, it is important to note that there is currently no controlled benchmark for","Dungeon Gleaner has a score of 8 based on its performance in addressing unmet needs against nearby satisfier nodes. However, it is important to note that there is currently no controlled benchmark for"
