id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is a browser cart-pole operating-envelope study. It is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In t","Sundog Balance is a browser cart-pole operating-envelope study. It is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In t"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner through Playwright. The runner is a load-bearing surface, executing a real JavaScript engine and roguelik","EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner through Playwright. The runner is a load-bearing surface, executing a real JavaScript engine and roguelik"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks ","Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks "
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the context of Sundog Balance, the overhead-light cells remain degradation boundaries. They do not function as usable overhead-light control.","In the context of Sundog Balance, the overhead-light cells remain degradation boundaries. They do not function as usable overhead-light control."
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement versus passive and na","The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement versus passive and na"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is within a specific density, pressure-noise","Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is within a specific density, pressure-noise"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coherenc","Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coherenc"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_removed,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The strongest controlled claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and propr","The strongest controlled claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and propr"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the near-escape pocket, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity setup, while lower-velocity and equal-mass cells remain harm","In the near-escape pocket, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity setup, while lower-velocity and equal-mass cells remain harm"
