id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_reordered,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Sundog Balance operating envelope study is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. Within this envelope, the s","The Sundog Balance operating envelope study is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. Within this envelope, the s"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_reordered,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_reordered,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner, which executes a real JavaScript engine and roguelike game through Playwright. The apparatus is seedable","EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner, which executes a real JavaScript engine and roguelike game through Playwright. The apparatus is seedable"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_reordered,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks ","Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks "
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_reordered,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the context of Sundog Balance, the overhead-light cells are degradation boundaries. They do not work as overhead-light control. You can say they are qualitatively better than all-fail margins, but ","In the context of Sundog Balance, the overhead-light cells are degradation boundaries. They do not work as overhead-light control. You can say they are qualitatively better than all-fail margins, but "
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_reordered,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket when compared to passive and naive baselines, as demonstrated in the workbench. However, the workbench","The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket when compared to passive and naive baselines, as demonstrated in the workbench. However, the workbench"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_reordered,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines finds safe tiles first in a specific density and pressure-noise pocket, improving safe-tile progress over naive pressure before mine trigger. This is within the operating envelope of Pr","Pressure Mines finds safe tiles first in a specific density and pressure-noise pocket, improving safe-tile progress over naive pressure before mine trigger. This is within the operating envelope of Pr"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_reordered,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry: a pre-registered falsification apparatus plus telemetry for alignment, tor","Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry: a pre-registered falsification apparatus plus telemetry for alignment, tor"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_reordered,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The strongest controlled claim is the photometric mirror-alignment result. In the tested MuJoCo task, a controller without target-position access aligned a mirrored end-effector using sparse photometr","The strongest controlled claim is the photometric mirror-alignment result. In the tested MuJoCo task, a controller without target-position access aligned a mirrored end-effector using sparse photometr"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_reordered,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement versus passive and na","The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement versus passive and na"
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_reordered,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants improve safe-tile progress and safe tiles over naive pressure before mine trigger. This is within a failure reg","In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants improve safe-tile progress and safe tiles over naive pressure before mine trigger. This is within a failure reg"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_reordered,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,Dungeon Gleaner expresses the indirect-signal pattern by scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. Its performance against GOAP is not yet a c,Dungeon Gleaner expresses the indirect-signal pattern by scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. Its performance against GOAP is not yet a c
differential-013,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,support_reordered,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller and Sundog Balance both operate within a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survi","The Three-Body controller and Sundog Balance both operate within a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survi"
differential-014,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,support_reordered,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,rejected,accepted,rejected,true,true,false,,"Money Bags and Dungeon Gleaner are both product expressions, as they both express specific patterns in NPC behavior. However, Dungeon Gleaner is more developed, with its verb-field NPC behavior scorin","Money Bags and Dungeon Gleaner are both product expressions, as they both express specific patterns in NPC behavior. However, Dungeon Gleaner is more developed, with its verb-field NPC behavior scorin"
differential-015,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,support_reordered,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,The EyesOnly and Dungeon Gleaner setup is an instrumented prototype surface for Sundog. This is because the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright,The EyesOnly and Dungeon Gleaner setup is an instrumented prototype surface for Sundog. This is because the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright
