id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,Sundog Balance is a browser-based cart-pole operating-envelope study exploring controller performance under network constraints,Sundog Balance is a browser-based cart-pole operating-envelope study exploring controller performance under network constraints
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study of Sundog variants in a lossy pressure field, showing improved budget-adjusted safe-tile progress in a density 0.16 / pressure-noise 2.0 / dropout 0.2 poc","Pressure Mines is an operating-envelope study of Sundog variants in a lossy pressure field, showing improved budget-adjusted safe-tile progress in a density 0.16 / pressure-noise 2.0 / dropout 0.2 poc"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype for procedural games, integrating a headless runner that drives a JavaScript roguelike through Playwright, compresses game state into typed perceptions","EyesOnly/Gone Rogue is an instrumented prototype for procedural games, integrating a headless runner that drives a JavaScript roguelike through Playwright, compresses game state into typed perceptions"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression implementing the indirect-signal pattern, where NPC behavior prioritizes local environmental signals over predefined rules. While it demonstrates operational ef","Dungeon Gleaner is a product expression implementing the indirect-signal pattern, where NPC behavior prioritizes local environmental signals over predefined rules. While it demonstrates operational ef"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance’s operating envelope study tested overhead-light cells as degradation boundaries, not functional regions. In the browser cart-pole setup, both shadow controllers failed in overhead-ligh","Sundog Balance’s operating envelope study tested overhead-light cells as degradation boundaries, not functional regions. In the browser cart-pole setup, both shadow controllers failed in overhead-ligh"
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,The Three-Body workbench characterizes controller behavior within a bounded operating envelope. While the TRACK controller shows survival improvements in high-,The Three-Body workbench characterizes controller behavior within a bounded operating envelope. While the TRACK controller shows survival improvements in high-
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study of Sundog variants over lossy pressure fields. In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 configuration, pressure-derived methods sh","Pressure Mines is an operating-envelope study of Sundog variants over lossy pressure fields. In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 configuration, pressure-derived methods sh"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,Money Bags includes the see-saw musing,Money Bags includes the see-saw musing
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline in the tested MuJoCo task, but the exact percentage figure is not publicl","The photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline in the tested MuJoCo task, but the exact percentage figure is not publicl"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Pressure Mines operating envelope study does not report a specific clearance percentage. Instead, it evaluates budget-adjusted safe-tile progress and safe tiles in a defined density 0.16 / pressur","The Pressure Mines operating envelope study does not report a specific clearance percentage. Instead, it evaluates budget-adjusted safe-tile progress and safe tiles in a defined density 0.16 / pressur"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-013,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-014,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
