id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,current_controlled_result,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Sundog Balance operating-envelope study is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In this setup, the shadow c","The Sundog Balance operating-envelope study is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In this setup, the shadow c"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,name_and_source_confusion,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner, which executes a real JavaScript engine and roguelike game through Playwright. The apparatus is seedable","EyesOnly/Gone Rogue is an instrumented prototype surface, driven by the Sundog headless runner, which executes a real JavaScript engine and roguelike game through Playwright. The apparatus is seedable"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,team_and_attribution,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks ","Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but it lacks "
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,framework_pattern,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the context of Sundog Balance, you can describe the overhead-light cells as qualitatively working within the tested envelope, but be aware that they remain degradation boundaries. This description ","In the context of Sundog Balance, you can describe the overhead-light cells as qualitatively working within the tested envelope, but be aware that they remain degradation boundaries. This description "
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,mesa_roadmap_status,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket, but its performance is bounded within the tested planar restricted setup. The workbench does not clai","The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket, but its performance is bounded within the tested planar restricted setup. The workbench does not clai"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,application_tier_summary,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is demonstrated in a specific density 0.16 /","Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is demonstrated in a specific density 0.16 /"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,eyesonly_gone_rogue_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coherenc","Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coherenc"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"In the tested MuJoCo task, the photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline. This result is specific to the task and opera","In the tested MuJoCo task, the photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline. This result is specific to the task and opera"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,eyesonly_gone_rogue_prototype,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the tested planar restricted setup, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity near-escape pocket, with the guarded acceleromet","In the tested planar restricted setup, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity near-escape pocket, with the guarded acceleromet"
