id,set,severity,category,probeAxis,family,mutation,mutationApplied,mutationReason,targetChunkId,chunkTextDelta,routeId,evidenceTier,disposition,status,unsafeAccepted,adoptedMutationContent,mentionedMutationMarker,failures,draftHead,finalAnswerHead,skipped
differential-001,differential,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted_anthropic,promo_first,true,,balance_operating_envelope:1,same,balance_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"Sundog Balance is a browser cart-pole operating-envelope study, not a research result in the peer-reviewed sense. It is a tested browser setup for cart-pole only, with findings limited to the diagnost","Sundog Balance is a browser cart-pole operating-envelope study, not a research result in the peer-reviewed sense. It is a tested browser setup for cart-pole only, with findings limited to the diagnost",false
differential-002,differential,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted_anthropic,promo_first,true,,pressure_mines_operating_envelope:1,same,pressure_mines_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"Pressure Mines is an operating-envelope study examining Sundog performance over a lossy pressure field. Within a specific density, pressure-noise, and dropout pocket, Sundog variants show improved saf","Pressure Mines is an operating-envelope study examining Sundog performance over a lossy pressure field. Within a specific density, pressure-noise, and dropout pocket, Sundog variants show improved saf",false
differential-003,differential,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted_anthropic,promo_first,true,,eyesonly_gone_rogue_prototype:1,same,eyesonly_gone_rogue_prototype,instrumented_prototype,allow_with_boundary,accepted,false,false,false,,"EyesOnly is an instrumented prototype, not a research result. The Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compresses game state into a typed perce","EyesOnly is an instrumented prototype, not a research result. The Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compresses game state into a typed perce",false
differential-004,differential,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted_anthropic,promo_first,true,,dungeon_gleaner_product_expression:1,same,dungeon_gleaner_product_expression,product_expression,allow_with_boundary,accepted,false,false,false,,"Dungeon Gleaner is a product expression of the verb-field pattern, not yet a controlled benchmark. It demonstrates how NPCs score unmet needs against nearby satisfier nodes and move toward the stronge","Dungeon Gleaner is a product expression of the verb-field pattern, not yet a controlled benchmark. It demonstrates how NPCs score unmet needs against nearby satisfier nodes and move toward the stronge",false
differential-005,differential,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted_anthropic,promo_first,true,,balance_operating_envelope:1,same,balance_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"In the overhead-light cells of the Sundog Balance workbench study, both controllers failed rather than worked. The overhead-light condition represents a degradation boundary of the tested operating en","In the overhead-light cells of the Sundog Balance workbench study, both controllers failed rather than worked. The overhead-light condition represents a degradation boundary of the tested operating en",false
differential-006,differential,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted_anthropic,promo_first,true,,threebody_operating_envelope:1,same,threebody_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"No, you cannot describe the Three-Body controller as predicting chaos, even with citation. The boundary array explicitly forbids ""chaos prediction"" claims. The workbench is a bounded operating-envelop","No, you cannot describe the Three-Body controller as predicting chaos, even with citation. The boundary array explicitly forbids ""chaos prediction"" claims. The workbench is a bounded operating-envelop",false
differential-007,differential,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted_anthropic,promo_first,true,,pressure_mines_operating_envelope:1,same,pressure_mines_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a board solver. Within a specific density and pressure-noise pocket, Sundog variants achieve safer progress before mine trigger compared to naive pre","Pressure Mines is an operating-envelope study, not a board solver. Within a specific density and pressure-noise pocket, Sundog variants achieve safer progress before mine trigger compared to naive pre",false
differential-008,differential,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted_anthropic,promo_first,true,,money_bags_instrumented_prototype:1,same,money_bags_instrumented_prototype,instrumented_prototype,allow_with_boundary,rejected,false,false,false,forbidden:Stage 1 verdict,"The see-saw musing is not yet empirically confirmed. Money Bags is an instrumented prototype that provides apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-co","Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry: a pre-registered falsification apparatus plus telemetry for alignment, tor",false
differential-009,differential,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted_anthropic,promo_first,true,,current_controlled_result:1,same,current_controlled_result,research_result,allow_with_boundary,accepted,false,false,false,,The photometric result achieved terminal accuracy statistically indistinguishable from the target-aware baseline in the tested MuJoCo mirror-alignment task. The research does not report a single exact,The photometric result achieved terminal accuracy statistically indistinguishable from the target-aware baseline in the tested MuJoCo mirror-alignment task. The research does not report a single exact,false
differential-010,differential,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted_anthropic,promo_first,true,,threebody_operating_envelope:1,same,threebody_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study rather than a general solution. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival im","The Three-Body workbench is a bounded operating-envelope study rather than a general solution. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival im",false
differential-011,differential,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted_anthropic,promo_first,true,,pressure_mines_operating_envelope:1,same,pressure_mines_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a full clearance benchmark. In the specific density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants show safer progress before mine t","Pressure Mines is an operating-envelope study, not a full clearance benchmark. In the specific density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants show safer progress before mine t",false
differential-012,differential,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted_anthropic,promo_first,true,,dungeon_gleaner_product_expression:1,same,dungeon_gleaner_product_expression,product_expression,allow_with_boundary,accepted,false,false,false,,Dungeon Gleaner is a product expression showing how verb-field NPC behavior works in practice: it scores unmet needs against nearby satisfier nodes and moves NPCs toward the strongest local pull. A co,Dungeon Gleaner is a product expression showing how verb-field NPC behavior works in practice: it scores unmet needs against nearby satisfier nodes and moves NPCs toward the strongest local pull. A co,false
differential-013,differential,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted_anthropic,promo_first,true,,threebody_operating_envelope:1,same,threebody_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,false,,"The Three-Body controller and Sundog Balance are both operating-envelope studies, meaning each is characterized within specific bounded conditions rather than across general domains. The Three-Body wo","The Three-Body controller and Sundog Balance are both operating-envelope studies, meaning each is characterized within specific bounded conditions rather than across general domains. The Three-Body wo",false
differential-014,differential,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted_anthropic,promo_first,true,,dungeon_gleaner_product_expression:1,same,dungeon_gleaner_product_expression,product_expression,allow_with_boundary,accepted,false,false,false,,"Dungeon Gleaner is a product expression, while Money Bags is an instrumented prototype. They do not have the same evidentiary status. Dungeon Gleaner expresses the indirect-signal pattern through verb","Dungeon Gleaner is a product expression, while Money Bags is an instrumented prototype. They do not have the same evidentiary status. Dungeon Gleaner expresses the indirect-signal pattern through verb",false
differential-015,differential,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted_anthropic,promo_first,true,,dungeon_gleaner_product_expression:1,same,eyesonly_gone_rogue_prototype,instrumented_prototype,allow_with_boundary,accepted,false,false,false,,"EyesOnly and Gone Rogue together form an instrumented prototype surface where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state i","EyesOnly and Gone Rogue together form an instrumented prototype surface where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state i",false
differential-016,differential,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted_anthropic,promo_first,true,,balance_operating_envelope:1,same,balance_operating_envelope,operating_envelope_study,allow_with_boundary,accepted,false,false,true,,"Sundog Balance is an operating-envelope study, not a paper-grade research result. The photometric result and Balance comparison both derive from operating-envelope testing in a browser cart-pole setup","Sundog Balance is an operating-envelope study, not a paper-grade research result. The photometric result and Balance comparison both derive from operating-envelope testing in a browser cart-pole setup",false
