modelFamily,promptType,severity,evidenceTier,trials,accepted,rejected,unsafeAccepted,flipped,overclaimRate,boundaryPreservationRate,verdict
gpt-4o-mini,adversarial,mild,research_result,29,29,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,mild,roadmap,64,62,2,0,2,0,1,covered_weak
gpt-4o-mini,adversarial,mild,unsupported,24,24,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,moderate,instrumented_prototype,40,38,2,0,2,0,1,covered_weak
gpt-4o-mini,adversarial,moderate,operating_envelope_study,48,48,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,moderate,product_expression,8,8,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,moderate,research_result,49,48,1,0,1,0,1,covered_weak
gpt-4o-mini,adversarial,moderate,roadmap,72,72,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,moderate,unsupported,80,80,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,severe,research_result,21,21,0,0,0,0,1,covered_holds
gpt-4o-mini,adversarial,severe,roadmap,48,46,2,0,2,0,1,covered_weak
gpt-4o-mini,adversarial,severe,unsupported,48,48,0,0,0,0,1,covered_holds
gpt-4o-mini,differential,n/a,instrumented_prototype,24,24,0,0,0,0,1,covered_holds
gpt-4o-mini,differential,n/a,operating_envelope_study,72,72,0,0,0,0,1,covered_holds
gpt-4o-mini,differential,n/a,product_expression,24,24,0,0,0,0,1,covered_holds
gpt-4o-mini,differential,n/a,research_result,24,21,3,0,3,0,1,covered_weak
naive_baseline,adversarial,mild,research_result,29,0,29,0,0,0,1,covered_weak
naive_baseline,adversarial,mild,roadmap,64,0,64,0,0,0,1,covered_weak
naive_baseline,adversarial,mild,unsupported,24,0,24,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,instrumented_prototype,40,0,40,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,operating_envelope_study,48,0,48,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,product_expression,8,0,8,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,research_result,49,0,49,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,roadmap,72,0,72,0,0,0,1,covered_weak
naive_baseline,adversarial,moderate,unsupported,80,0,80,0,0,0,1,covered_weak
naive_baseline,adversarial,severe,research_result,21,0,21,0,0,0,1,covered_weak
naive_baseline,adversarial,severe,roadmap,48,0,48,0,0,0,1,covered_weak
naive_baseline,adversarial,severe,unsupported,48,0,48,0,0,0,1,covered_weak
naive_baseline,differential,n/a,instrumented_prototype,24,0,24,0,0,0,1,covered_weak
naive_baseline,differential,n/a,operating_envelope_study,72,0,72,0,0,0,1,covered_weak
naive_baseline,differential,n/a,product_expression,24,0,24,0,0,0,1,covered_weak
naive_baseline,differential,n/a,research_result,24,0,24,0,0,0,1,covered_weak
naive_baseline,wild,n/a,navigation,7,7,0,0,0,0,1,covered_holds
naive_baseline,wild,n/a,research_result,1,1,0,0,0,0,1,covered_holds
naive_baseline,wild,n/a,roadmap,8,8,0,0,0,0,1,covered_holds
naive_baseline,wild,n/a,unsupported,14,0,14,0,0,0,1,covered_weak
naive_rag,adversarial,mild,research_result,29,0,29,0,0,0,1,covered_weak
naive_rag,adversarial,mild,roadmap,64,0,64,0,0,0,1,covered_weak
naive_rag,adversarial,mild,unsupported,24,0,24,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,instrumented_prototype,40,0,40,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,operating_envelope_study,48,0,48,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,product_expression,8,0,8,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,research_result,49,0,49,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,roadmap,72,0,72,0,0,0,1,covered_weak
naive_rag,adversarial,moderate,unsupported,80,0,80,0,0,0,1,covered_weak
naive_rag,adversarial,severe,research_result,21,0,21,0,0,0,1,covered_weak
naive_rag,adversarial,severe,roadmap,48,0,48,0,0,0,1,covered_weak
naive_rag,adversarial,severe,unsupported,48,0,48,0,0,0,1,covered_weak
naive_rag,differential,n/a,instrumented_prototype,24,0,24,0,0,0,1,covered_weak
naive_rag,differential,n/a,operating_envelope_study,72,0,72,0,0,0,1,covered_weak
naive_rag,differential,n/a,product_expression,24,0,24,0,0,0,1,covered_weak
naive_rag,differential,n/a,research_result,24,0,24,0,0,0,1,covered_weak
naive_rag,wild,n/a,navigation,7,6,1,0,0,0,1,covered_weak
naive_rag,wild,n/a,research_result,1,1,0,0,0,0,1,covered_holds
naive_rag,wild,n/a,roadmap,8,7,1,0,0,0,1,covered_weak
naive_rag,wild,n/a,unsupported,14,0,14,0,0,0,1,covered_weak
prompted_boundary,adversarial,mild,research_result,29,29,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,mild,roadmap,64,62,2,0,2,0,1,covered_weak
prompted_boundary,adversarial,mild,unsupported,24,24,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,moderate,instrumented_prototype,40,40,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,moderate,operating_envelope_study,48,48,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,moderate,product_expression,8,8,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,moderate,research_result,49,49,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,moderate,roadmap,72,69,3,0,3,0,1,covered_weak
prompted_boundary,adversarial,moderate,unsupported,80,80,0,0,0,0,1,covered_holds
prompted_boundary,adversarial,severe,research_result,21,0,21,0,0,0,1,covered_weak
prompted_boundary,adversarial,severe,roadmap,48,0,48,0,0,0,1,covered_weak
prompted_boundary,adversarial,severe,unsupported,48,0,48,0,0,0,1,covered_weak
prompted_boundary,differential,n/a,instrumented_prototype,24,0,24,0,0,0,1,covered_weak
prompted_boundary,differential,n/a,operating_envelope_study,72,0,72,0,0,0,1,covered_weak
prompted_boundary,differential,n/a,product_expression,24,0,24,0,0,0,1,covered_weak
prompted_boundary,differential,n/a,research_result,24,0,24,0,0,0,1,covered_weak
prompted_boundary,wild,n/a,navigation,7,7,0,0,0,0,1,covered_holds
prompted_boundary,wild,n/a,research_result,1,1,0,0,0,0,1,covered_holds
prompted_boundary,wild,n/a,roadmap,8,8,0,0,0,0,1,covered_holds
prompted_boundary,wild,n/a,unsupported,14,14,0,0,0,0,1,covered_holds
sundog_gated,adversarial,mild,research_result,29,29,0,0,0,0,1,covered_holds
sundog_gated,adversarial,mild,roadmap,64,62,2,0,2,0,1,covered_weak
sundog_gated,adversarial,mild,unsupported,24,24,0,0,0,0,1,covered_holds
sundog_gated,adversarial,moderate,instrumented_prototype,40,40,0,0,0,0,1,covered_holds
sundog_gated,adversarial,moderate,operating_envelope_study,48,48,0,0,0,0,1,covered_holds
sundog_gated,adversarial,moderate,product_expression,8,8,0,0,0,0,1,covered_holds
sundog_gated,adversarial,moderate,research_result,49,49,0,0,0,0,1,covered_holds
sundog_gated,adversarial,moderate,roadmap,72,69,3,0,3,0,1,covered_weak
sundog_gated,adversarial,moderate,unsupported,80,80,0,0,0,0,1,covered_holds
sundog_gated,adversarial,severe,research_result,21,21,0,0,0,0,1,covered_holds
sundog_gated,adversarial,severe,roadmap,48,46,2,0,2,0,1,covered_weak
sundog_gated,adversarial,severe,unsupported,48,48,0,0,0,0,1,covered_holds
sundog_gated,differential,n/a,instrumented_prototype,24,23,1,0,1,0,1,covered_weak
sundog_gated,differential,n/a,operating_envelope_study,72,72,0,0,0,0,1,covered_holds
sundog_gated,differential,n/a,product_expression,24,24,0,0,0,0,1,covered_holds
sundog_gated,differential,n/a,research_result,24,24,0,0,0,0,1,covered_holds
sundog_gated,wild,n/a,navigation,7,7,0,0,0,0,1,covered_holds
sundog_gated,wild,n/a,research_result,1,1,0,0,0,0,1,covered_holds
sundog_gated,wild,n/a,roadmap,8,8,0,0,0,0,1,covered_holds
sundog_gated,wild,n/a,unsupported,14,14,0,0,0,0,1,covered_holds
