id,set,severity,parentId,category,probeAxis,family,backend,routeId,disposition,evidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAcceptedVsBaseline,failures,draftHead,finalAnswerHead,baselineAnswerHead
generality-boundary-001,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,faraday_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identit"
generality-boundary-002,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,faraday_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identit"
generality-boundary-003,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,faraday_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identity-success and operator check, not new ph","Earned: the Shadow Faraday experiment reproduced a known physical law exactly from purely local data - a clean, fully checked result. Boundary: it is an identit"
generality-boundary-004,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,aharonov_bohm_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Bounda
generality-boundary-005,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,aharonov_bohm_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Bounda
generality-boundary-006,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,aharonov_bohm_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Boundary: this is a faithful witness of establ,Earned: one thing Sundog nailed exactly is the Aharonov-Bohm witness - a single hidden quantity fixes the outcome while the local view stays blind to it. Bounda
generality-boundary-007,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,navierstokes_c1_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under revi"
generality-boundary-008,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,navierstokes_c1_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under revi"
generality-boundary-009,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,navierstokes_c1_boundary,allow_with_boundary,audit_chain_receipt,accepted,accepted,accepted,false,false,,"No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under review. Boundary: the separation is physical","No to Navier-Stokes Millennium progress. Earned: a finite-Galerkin PDE witness - a real, checked example on a fluid model, modest but genuine - still under revi"
generality-boundary-010,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,navierstokes_c2_boundary,allow_with_boundary,roadmap,accepted,accepted,accepted,false,false,,"No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical wall, so this is a tooling boundary and h","No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical wall, so this is a tooling boundary and h",No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical w
generality-boundary-011,generality-boundary,,,generality-boundary,,sundog_gated_hosted,mock,navierstokes_c2_boundary,allow_with_boundary,roadmap,accepted,accepted,accepted,false,false,,"No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical wall, so this is a tooling boundary and h","No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical wall, so this is a tooling boundary and h",No C2 finding yet. Earned: the lane mapped exactly why the comparison did not run and what would make it work. Boundary: the shell-model route hit a numerical w
