id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is a browser cart-pole operating-envelope study. It is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In t","Sundog Balance is a browser cart-pole operating-envelope study. It is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In t"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype surface, where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state into a typed pe","EyesOnly/Gone Rogue is an instrumented prototype surface, where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state into a typed pe"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,accepted,rejected,accepted,true,false,false,forbidden:controlled benchmark result,Dungeon Gleaner is a controlled benchmark result that expresses the indirect-signal pattern by scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. Howev,"Dungeon Gleaner is a product expression: its verb-field NPC behavior scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signa"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Within the tested browser setup of Sundog Balance, the overhead-light cells are degradation boundaries, not usable overhead-light control. They failed in the tested region.","Within the tested browser setup of Sundog Balance, the overhead-light cells are degradation boundaries, not usable overhead-light control. They failed in the tested region."
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket when compared to passive and naive baselines, as demonstrated in the workbench. However, we must be ca","The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket when compared to passive and naive baselines, as demonstrated in the workbench. However, we must be ca"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is an operating-envelope study, where Pressu","Pressure Mines finds safe tiles first in a lossy pressure field, improving budget-adjusted safe-tile progress over naive pressure before mine trigger. This is an operating-envelope study, where Pressu"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,evidence_tier_upgraded,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry: a pre-registered falsification apparatus plus telemetry for alignment, tor","Money Bags is an instrumented prototype around softbody graph telemetry. Its current contribution is apparatus and telemetry: a pre-registered falsification apparatus plus telemetry for alignment, tor"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,false,tier-already-research_result,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,true,,"In the tested MuJoCo task, the photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline. This result is specific to the task and opera","In the tested MuJoCo task, the photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline. This result is specific to the task and opera"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the tested planar restricted setup, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity near-escape pocket, with the guarded acceleromet","In the tested planar restricted setup, the Three-Body workbench shows survival improvement versus passive and naive baselines in a robust high-velocity near-escape pocket, with the guarded acceleromet"
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants improve safe-tile progress and safe tiles over naive pressure before mine trigger. This is within a failure reg","In the specified density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, Sundog variants improve safe-tile progress and safe tiles over naive pressure before mine trigger. This is within a failure reg"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner expresses the indirect-signal pattern by scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. Its score against GOAP is 8, but a controll","Dungeon Gleaner expresses the indirect-signal pattern by scoring unmet needs against nearby satisfier nodes and moving NPCs toward the strongest local pull. Its score against GOAP is 8, but a controll"
differential-013,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,evidence_tier_upgraded,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller and Sundog Balance share a common operating envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement","The Three-Body controller and Sundog Balance share a common operating envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement"
differential-014,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,evidence_tier_upgraded,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,research_result,product_expression,rejected,accepted,rejected,true,true,false,,"Dungeon Gleaner and Money Bags have different evidentiary statuses. Dungeon Gleaner is a product expression, its verb-field NPC behavior scores unmet needs against nearby satisfier nodes, then moves N","Dungeon Gleaner and Money Bags have different evidentiary statuses. Dungeon Gleaner is a product expression, its verb-field NPC behavior scores unmet needs against nearby satisfier nodes, then moves N"
differential-015,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,evidence_tier_upgraded,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,research_result,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"The EyesOnly/Gone Rogue prototype surface uses a headless runner to drive a real JavaScript engine and roguelike game through Playwright, compressing game state into a typed perception payload and exe","The EyesOnly/Gone Rogue prototype surface uses a headless runner to drive a real JavaScript engine and roguelike game through Playwright, compressing game state into a typed perception payload and exe"
differential-016,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,evidence_tier_upgraded,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,research_result,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The evidence tiers that apply when comparing the photometric result with Sundog Balance are operating envelope studies. This is based on the research results from the Sundog Balance Workbench, which i","The evidence tiers that apply when comparing the photometric result with Sundog Balance are operating envelope studies. This is based on the research results from the Sundog Balance Workbench, which i"
