id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Sundog Balance operating envelope study found that the shadow controller outperforms naive shadow-centering within a specific diagnostic-positive region. However, the study's results do not extend","The Sundog Balance operating envelope study found that the shadow controller outperforms naive shadow-centering within a specific diagnostic-positive region. However, the study's results do not extend"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype surface for procedural games, driven by the Sundog headless runner. This setup uses a real JavaScript engine and a roguelike game, compressing game sta","EyesOnly/Gone Rogue is an instrumented prototype surface for procedural games, driven by the Sundog headless runner. This setup uses a real JavaScript engine and a roguelike game, compressing game sta"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner's verb-field NPC behavior scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but its current ","Dungeon Gleaner's verb-field NPC behavior scores unmet needs against nearby satisfier nodes, then moves NPCs toward the strongest local pull. It expresses the indirect-signal pattern, but its current "
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The overhead-light cells in Sundog Balance are a degradation boundary, meaning they do not work as intended in that region. To discuss the framework qualitatively, consider using terms like ""research ","The overhead-light cells in Sundog Balance are a degradation boundary, meaning they do not work as intended in that region. To discuss the framework qualitatively, consider using terms like ""research "
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket, but its performance is not guaranteed in all scenarios. The workbench study is a bounded operating-en","The Three-Body controller shows survival improvement in a robust high-velocity near-escape pocket, but its performance is not guaranteed in all scenarios. The workbench study is a bounded operating-en"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted","Pressure Mines is an operating-envelope study over a lossy pressure field. In the named density 0.16 / pressure-noise 2.0 / dropout 0.2 pocket, pressure-derived Sundog variants improve budget-adjusted"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"The see-saw musing is not a confirmed outcome for Money Bags. The current contribution of Money Bags is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coher","The see-saw musing is not a confirmed outcome for Money Bags. The current contribution of Money Bags is apparatus and telemetry for alignment, torsion, deformation, symmetry, recovery, and shape-coher"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The strongest controlled claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and propr","The strongest controlled claim is the photometric mirror-alignment result, where a controller without target-position access aligned a mirrored end-effector using sparse photometric feedback and propr"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows safer progress before failure versus passi","The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows safer progress before failure versus passi"
