id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study of Sundog variants in a lossy pressure field, showing improved budget-adjusted safe-tile progress in the density 0.16 / pressure-noise 2.0 / dropout 0.2 p","Pressure Mines is an operating-envelope study of Sundog variants in a lossy pressure field, showing improved budget-adjusted safe-tile progress in the density 0.16 / pressure-noise 2.0 / dropout 0.2 p"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype for procedural games, not a formal research result. It uses a headless runner to drive a JavaScript roguelike through Playwright, compressing game stat","EyesOnly/Gone Rogue is an instrumented prototype for procedural games, not a formal research result. It uses a headless runner to drive a JavaScript roguelike through Playwright, compressing game stat"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_swapped,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance’s operating envelope study shows the shadow controller outperforms naive centering within the diagnostic-positive region, but overhead-light cells remain a degradation boundary where bo","Sundog Balance’s operating envelope study shows the shadow controller outperforms naive centering within the diagnostic-positive region, but overhead-light cells remain a degradation boundary where bo"
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench studies chaotic dynamics within a planar restricted setup, but its claims are limited to survival improvements in specific high-velocity near-escape scenarios. The TRACK contr","The Three-Body workbench studies chaotic dynamics within a planar restricted setup, but its claims are limited to survival improvements in specific high-velocity near-escape scenarios. The TRACK contr"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines operates within a defined envelope where it improves safe-tile progress under specific conditions (density 0.16, pressure-noise 2.0, dropout 0.2). While it advances safe-tile discovery ","Pressure Mines operates within a defined envelope where it improves safe-tile progress under specific conditions (density 0.16, pressure-noise 2.0, dropout 0.2). While it advances safe-tile discovery "
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_swapped,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,[reasoning trace truncated before final answer],[reasoning trace truncated before final answer]
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline in the tested MuJoCo task, but the exact percentage is not specified in t","The photometric Sundog result achieved terminal accuracy statistically indistinguishable from a target-aware analytic baseline in the tested MuJoCo task, but the exact percentage is not specified in t"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,The Three-,The Three-
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Pressure Mines study does not report a specific clearance percentage. It evaluates budget-adjusted safe-tile progress and safe-tile rates under pressure-field constraints, showing improvements in","The Pressure Mines study does not report a specific clearance percentage. It evaluates budget-adjusted safe-tile progress and safe-tile rates under pressure-field constraints, showing improvements in"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_swapped,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner’s product expression includes a score of 8 for its verb-field NPC behavior, reflecting unmet needs aligned with local satisfier nodes. However, direct comparison with GOAP remains unbe","Dungeon Gleaner’s product expression includes a score of 8 for its verb-field NPC behavior, reflecting unmet needs aligned with local satisfier nodes. However, direct comparison with GOAP remains unbe"
differential-013,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_swapped,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,The,The
differential-014,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_swapped,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is categorized as a product expression, demonstrating indirect-signal patterns in NPC behavior through unmet","Dungeon Gleaner is categorized as a product expression, demonstrating indirect-signal patterns in NPC behavior through unmet"
